id,description,score,severity,published
CVE-2015-4946,"Rational LifeCycle Project Administration in Jazz Team Server in IBM Rational Collaborative Lifecycle Management (CLM) 3.x and 4.x before 4.0.7 IF9, 5.x before 5.0.2 IF9, and 6.x before 6.0.1; Rational Quality Manager (RQM) 3.x before 3.0.1.6 IF7, 4.x before 4.0.7 IF9, 5.x before 5.0.2 IF9, and 6.x before 6.0.1; Rational Team Concert (RTC) 3.x before 3.0.1.6 IF7, 4.x before 4.0.7 IF9, 5.x before 5.0.2 IF9, and 6.x before 6.0.1; Rational Requirements Composer (RRC) 3.x before 3.0.1.6 IF7 and 4.x before 4.0.7 IF9; Rational DOORS Next Generation (RDNG) 4.x before 4.0.7 IF9, 5.x before 5.0.2 IF9, and 6.x before 6.0.1; Rational Engineering Lifecycle Manager (RELM) 4.x through 4.0.7, 5.x through 5.0.2, and 6.x before 6.0.1; Rational Rhapsody Design Manager (DM) 4.x through 4.0.7, 5.x through 5.0.2, and 6.x before 6.0.1; and Rational Software Architect Design Manager (DM) 4.x through 4.0.7, 5.x through 5.0.2, and 6.x before 6.0.1 allows local users to bypass intended access restrictions via unspecified vectors.",,,2016-01-03T05:59:00.117
CVE-2015-4962,"Jazz Team Server in Jazz Foundation in IBM Rational Collaborative Lifecycle Management (CLM) 3.x and 4.x before 4.0.7 IF9, 5.x before 5.0.2 IF9, and 6.x before 6.0.1; Rational Quality Manager (RQM) 3.x before 3.0.1.6 IF7, 4.x before 4.0.7 IF9, 5.x before 5.0.2 IF9, and 6.x before 6.0.1; Rational Team Concert (RTC) 3.x before 3.0.1.6 IF7, 4.x before 4.0.7 IF9, 5.x before 5.0.2 IF9, and 6.x before 6.0.1; Rational Requirements Composer (RRC) 3.x before 3.0.1.6 IF7 and 4.x before 4.0.7 IF9; Rational DOORS Next Generation (RDNG) 4.x before 4.0.7 IF9, 5.x before 5.0.2 IF9, and 6.x before 6.0.1; Rational Engineering Lifecycle Manager (RELM) 4.x through 4.0.7, 5.x through 5.0.2, and 6.x before 6.0.1; Rational Rhapsody Design Manager (DM) 4.x through 4.0.7, 5.x through 5.0.2, and 6.x before 6.0.1; and Rational Software Architect Design Manager (DM) 4.x through 4.0.7, 5.x through 5.0.2, and 6.x before 6.0.1 uses weak permissions for unspecified project areas, which allows remote authenticated users to obtain sensitive information via unknown vectors.",,,2016-01-03T05:59:01.430
CVE-2015-8509,"Template.pm in Bugzilla 2.x, 3.x, and 4.x before 4.2.16, 4.3.x and 4.4.x before 4.4.11, and 4.5.x and 5.0.x before 5.0.2 does not properly construct CSV files, which allows remote attackers to obtain sensitive information by leveraging a web browser that interprets CSV data as JavaScript code.",,,2016-01-03T05:59:11.947
CVE-2015-6858,HP Insight Control server provisioning before 7.5.0 RabbitMQ allows remote attackers to obtain sensitive information via unspecified vectors.,,,2016-01-05T11:59:04.427
CVE-2015-6641,"Bluetooth in Android 6.0 before 2016-01-01 allows remote attackers to obtain sensitive Contacts information by leveraging pairing, aka internal bug 23607427.",,,2016-01-06T19:59:06.283
CVE-2015-6644,"Bouncy Castle in Android before 5.1.1 LMY49F and 6.0 before 2016-01-01 allows attackers to obtain sensitive information via a crafted application, aka internal bug 24106146.",,,2016-01-06T19:59:09.503
CVE-2015-7519,"agent/Core/Controller/SendRequest.cpp in Phusion Passenger before 4.0.60 and 5.0.x before 5.0.22, when used in Apache integration mode or in standalone mode without a filtering proxy, allows remote attackers to spoof headers passed to applications by using an _ (underscore) character instead of a - (dash) character in an HTTP header, as demonstrated by an X_User header.",,,2016-01-08T19:59:05.600
CVE-2015-7758,"Gummi 0.6.5 allows local users to write to arbitrary files via a symlink attack on a temporary dot file that uses the name of an existing file and a (1) .aux, (2) .log, (3) .out, (4) .pdf, or (5) .toc extension for the file name, as demonstrated by .thesis.tex.aux.",,,2016-01-08T19:59:09.163
CVE-2015-8481,"Atlassian JIRA Software 7.0.3, JIRA Core 7.0.3, and the bundled JIRA Service Desk 3.0.3 installer attaches the wrong image to e-mail notifications when a user views an issue with inline wiki markup referencing an image attachment, which might allow remote attackers to obtain sensitive information by updating a different issue that includes wiki markup for an external image reference.",,,2016-01-08T19:59:13.287
CVE-2016-1500,"ownCloud Server before 7.0.12, 8.0.x before 8.0.10, 8.1.x before 8.1.5, and 8.2.x before 8.2.2, when the ""file_versions"" application is enabled, does not properly check the return value of getOwner, which allows remote authenticated users to read the files with names starting with "".v"" and belonging to a sharing user by leveraging an incoming share.",,,2016-01-08T21:59:08.890
CVE-2015-7466,"Lifecycle Query Engine (LQE) in IBM Jazz Reporting Service (JRS) 6.0 before 6.0.0-Rational-CLM-ifix005 allows remote authenticated users to conduct LDAP injection attacks, and consequently bypass intended query restrictions or modify the LDAP directory, via unspecified vectors.",,,2016-01-10T03:59:04.853
CVE-2015-7548,"OpenStack Compute (Nova) before 2015.1.3 (kilo) and 12.0.x before 12.0.1 (liberty), when using libvirt to spawn instances and use_cow_images is set to false, allow remote authenticated users to read arbitrary files by overwriting an instance disk with a crafted image and requesting a snapshot.",,,2016-01-12T19:59:06.017
CVE-2015-7759,"BIG-IP LTM, AAM, AFM, Analytics, APM, ASM, Link Controller, and PEM 12.0.0 before HF1, when the TCP profile for a virtual server is configured with Congestion Metrics Cache enabled, allow remote attackers to cause a denial of service (Traffic Management Microkernel (TMM) restart) via crafted ICMP packets, related to Path MTU (PMTU) discovery.",,,2016-01-12T20:59:01.370
CVE-1999-0783,FreeBSD allows local users to conduct a denial of service by creating a hard link from a device special file to a file on an NFS file system.,5.5,MEDIUM,1998-06-16T04:00:00.000
CVE-1999-1386,"Perl 5.004_04 and earlier follows symbolic links when running with the -e option, which allows local users to overwrite arbitrary files via a symlink attack on the /tmp/perl-eaXXXXX file.",5.5,MEDIUM,1999-12-31T05:00:00.000
CVE-2000-0338,"Concurrent Versions Software (CVS) uses predictable temporary file names for locking, which allows local users to cause a denial of service by creating the lock directory before it is created for use by a legitimate CVS user.",5.5,MEDIUM,2000-04-23T04:00:00.000
CVE-2000-0552,"ICQwebmail client for ICQ 2000A creates a world readable temporary file during login and does not delete it, which allows local users to obtain sensitive information.",5.5,MEDIUM,2000-06-06T04:00:00.000
CVE-2000-0972,"HP-UX 11.00 crontab allows local users to read arbitrary files via the -e option by creating a symlink to the target file during the crontab session, quitting the session, and reading the error messages that crontab generates.",5.5,MEDIUM,2000-12-19T05:00:00.000
CVE-2000-1178,"Joe text editor follows symbolic links when creating a rescue copy called DEADJOE during an abnormal exit, which allows local users to overwrite the files of other users whose joe session crashes.",5.5,MEDIUM,2001-01-09T05:00:00.000
CVE-2001-1391,Off-by-one vulnerability in CPIA driver of Linux kernel before 2.2.19 allows users to modify kernel memory.,5.5,MEDIUM,2001-04-17T04:00:00.000
CVE-2001-0682,ZoneAlarm and ZoneAlarm Pro allows a local attacker to cause a denial of service by running a trojan to initialize a ZoneAlarm mutex object which prevents ZoneAlarm from starting.,5.5,MEDIUM,2001-08-29T04:00:00.000
CVE-2000-1198,"qpopper POP server creates lock files with predictable names, which allows local users to cause a denial of service for other users (lack of mail access) by creating lock files for other mail boxes.",5.5,MEDIUM,2001-08-31T04:00:00.000
CVE-2001-1494,"script command in the util-linux package before 2.11n allows local users to overwrite arbitrary files by setting a hardlink from the typescript log file to any file on the system, then having root execute the script command.",5.5,MEDIUM,2001-12-31T05:00:00.000
CVE-2001-1559,"The uipc system calls (uipc_syscalls.c) in OpenBSD 2.9 and 3.0 provide user mode return instead of versus rval kernel mode values to the fdrelease function, which allows local users to cause a denial of service and trigger a null dereference.",5.5,MEDIUM,2001-12-31T05:00:00.000
CVE-2002-0788,"An interaction between PGP 7.0.3 with the ""wipe deleted files"" option, when used on Windows Encrypted File System (EFS), creates a cleartext temporary files that cannot be wiped or deleted due to strong permissions, which could allow certain local users or attackers with physical access to obtain cleartext information.",5.5,MEDIUM,2002-08-12T04:00:00.000
CVE-2002-0793,"Hard link and possibly symbolic link following vulnerabilities in QNX RTOS 4.25 (aka QNX4) allow local users to overwrite arbitrary files via (1) the -f argument to the monitor utility, (2) the -d argument to dumper, (3) the -c argument to crttrap, or (4) using the Watcom sample utility.",5.5,MEDIUM,2002-08-12T04:00:00.000
CVE-2002-0725,"NTFS file system in Windows NT 4.0 and Windows 2000 SP2 allows local attackers to hide file usage activities via a hard link to the target file, which causes the link to be recorded in the audit trail instead of the target file.",5.5,MEDIUM,2002-09-05T04:00:00.000
CVE-2002-1682,"NewsReactor 1.0 uses a weak encryption scheme, which could allow local users to decrypt the passwords and gain access to other users' newsgroup accounts.",5.5,MEDIUM,2002-12-31T05:00:00.000
CVE-2002-1696,"Microsoft Outlook plug-in PGP version 7.0, 7.0.3, and 7.0.4 silently saves a decrypted copy of a message to hard disk when ""Automatically decrypt/verify when opening messages"" option is checked, ""Always use Secure Viewer when decrypting"" option is not checked, and the user replies to an encrypted message.",5.5,MEDIUM,2002-12-31T05:00:00.000
CVE-2002-1713,"The Standard security setting for Mandrake-Security package (msec) in Mandrake 8.2 installs home directories with world-readable permissions, which could allow local users to read other user's files.",5.5,MEDIUM,2002-12-31T05:00:00.000
CVE-2002-1739,"Alt-N Technologies Mdaemon 5.0 through 5.0.6 uses a weak encryption algorithm to store user passwords, which allows local users to crack passwords.",5.5,MEDIUM,2002-12-31T05:00:00.000
CVE-2002-1914,dump 0.4 b10 through b29 allows local users to cause a denial of service (execution prevention) by using flock() to lock the /etc/dumpdates file.,5.5,MEDIUM,2002-12-31T05:00:00.000
CVE-2002-1915,tip on multiple BSD-based operating systems allows local users to cause a denial of service (execution prevention) by using flock() to lock the /var/log/acculog file.,5.5,MEDIUM,2002-12-31T05:00:00.000
CVE-2002-1946,"Videsh Sanchar Nigam Limited (VSNL) Integrated Dialer Software 1.2.000, when the ""Save Password"" option is used, stores the password with a weak encryption scheme (one-to-one mapping) in a registry key, which allows local users to obtain and decrypt the password.",5.5,MEDIUM,2002-12-31T05:00:00.000
CVE-2002-1975,"Sharp Zaurus PDA SL-5000D and SL-5500 uses a salt of ""A0"" to encrypt the screen-locking password as stored in the Security.conf file, which makes it easier for local users to guess the password via brute force methods.",5.5,MEDIUM,2002-12-31T05:00:00.000
CVE-2003-0517,faxrunqd.in in mgetty 1.1.28 and earlier allows local users to overwrite files via a symlink attack on JOB files.,5.5,MEDIUM,2003-08-18T04:00:00.000
CVE-2003-1564,"libxml2, possibly before 2.5.0, does not properly detect recursion during entity expansion, which allows context-dependent attackers to cause a denial of service (memory and CPU consumption) via a crafted XML document containing a large number of nested entity references, aka the ""billion laughs attack.""",6.5,MEDIUM,2003-12-31T05:00:00.000
CVE-2003-0981,"FreeScripts VisitorBook LE (visitorbook.pl) logs the reverse DNS name of a visiting host, which allows remote attackers to spoof the origin of their incoming requests and facilitate cross-site scripting (XSS) attacks.",6.1,MEDIUM,2004-01-05T05:00:00.000
CVE-2004-1865,"Cross-site scripting (XSS) vulnerability in the administration panel in bBlog 0.7.2 allows remote authenticated users with superuser privileges to inject arbitrary web script or HTML via a blog name ($blogname).  NOTE: if administrators are normally allowed to add HTML by other means, e.g. through Smarty templates, then this issue would not give any additional privileges, and thus would not be considered a vulnerability.",4.8,MEDIUM,2004-03-26T05:00:00.000
CVE-2004-1603,"cPanel 9.4.1-RELEASE-64 follows hard links, which allows local users to (1) read arbitrary files via the backup feature or (2) chown arbitrary files via the .htaccess file when Front Page extensions are enabled or disabled.",5.5,MEDIUM,2004-10-18T04:00:00.000
CVE-2004-0342,"WFTPD Pro Server 3.21 Release 1, with the XeroxDocutech option enabled, allows local users to cause a denial of service (crash) via a (1) MKD or (2) XMKD command that causes an absolute path of 260 characters to be used, which overwrites a cookie with a null character, possibly due to an off-by-one error.",5.5,MEDIUM,2004-11-23T05:00:00.000
CVE-2004-1464,"Cisco IOS 12.2(15) and earlier allows remote attackers to cause a denial of service (refused VTY (virtual terminal) connections), via a crafted TCP connection to the Telnet or reverse Telnet port.",5.9,MEDIUM,2004-12-31T05:00:00.000
CVE-2004-1901,Portage before 2.0.50-r3 allows local users to overwrite arbitrary files via a hard link attack on the lockfiles.,5.5,MEDIUM,2004-12-31T05:00:00.000
CVE-1999-0236,ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,7.5,HIGH,1997-01-01T05:00:00.000
CVE-1999-0239,"Netscape FastTrack Web server lists files when a lowercase ""get"" command is used instead of an uppercase GET.",7.5,HIGH,1998-01-01T05:00:00.000
CVE-1999-1152,"Compaq/Microcom 6000 Access Integrator does not disconnect a client after a certain number of failed login attempts, which allows remote attackers to guess usernames or passwords via a brute force attack.",7.5,HIGH,1998-06-03T04:00:00.000
CVE-1999-1568,Off-by-one error in NcFTPd FTP server before 2.4.1 allows a remote attacker to cause a denial of service (crash) via a long PORT command.,7.5,HIGH,1999-01-01T05:00:00.000
CVE-1999-1549,"Lynx 2.x does not properly distinguish between internal and external HTML, which may allow a local attacker to read a ""secure"" hidden form value from a temporary file and craft a LYNXOPTIONS: URL that causes Lynx to modify the user's configuration file and execute commands.",7.8,HIGH,1999-11-16T05:00:00.000
CVE-1999-1127,"Windows NT 4.0 does not properly shut down invalid named pipe RPC connections, which allows remote attackers to cause a denial of service (resource exhaustion) via a series of connections containing malformed data, aka the ""Named Pipes Over RPC"" vulnerability.",7.5,HIGH,1999-12-31T05:00:00.000
CVE-2000-0258,"IIS 4.0 and 5.0 allows remote attackers to cause a denial of service by sending many URLs with a large number of escaped characters, aka the ""Myriad Escaped Characters"" Vulnerability.",,,2000-04-12T04:00:00.000
CVE-2000-0342,"Eudora 4.x allows remote attackers to bypass the user warning for executable attachments such as .exe, .com, and .bat by using a .lnk file that refers to the attachment, aka ""Stealth Attachment.""",7.5,HIGH,2000-04-28T04:00:00.000
CVE-2000-0497,IBM WebSphere server 3.0.2 allows a remote attacker to view source code of a JSP program by requesting a URL which provides the JSP extension in upper case.,7.5,HIGH,2000-06-08T04:00:00.000
CVE-2000-0498,Unify eWave ServletExec allows a remote attacker to view source code of a JSP program by requesting a URL which provides the JSP extension in upper case.,7.5,HIGH,2000-06-08T04:00:00.000
CVE-2000-0499,The default configuration of BEA WebLogic 3.1.8 through 4.5.1 allows a remote attacker to view source code of a JSP program by requesting a URL which provides the JSP extension in upper case.,7.5,HIGH,2000-06-08T04:00:00.000
CVE-2001-0006,"The Winsock2ProtocolCatalogMutex mutex in Windows NT 4.0 has inappropriate Everyone/Full Control permissions, which allows local users to modify the permissions to ""No Access"" and disable Winsock network connectivity to cause a denial of service, aka the ""Winsock Mutex"" vulnerability.",7.1,HIGH,2001-02-12T05:00:00.000
CVE-2001-0195,"sash before 3.4-4 in Debian GNU/Linux does not properly clone /etc/shadow, which makes it world-readable and could allow local users to gain privileges via password cracking.",7.8,HIGH,2001-03-26T05:00:00.000
CVE-2001-0334,FTP service in IIS 5.0 and earlier allows remote attackers to cause a denial of service via a wildcard sequence that generates a long string when it is expanded.,7.5,HIGH,2001-06-27T04:00:00.000
CVE-2001-1043,ArGoSoft FTP Server 1.2.2.2 allows remote attackers to read arbitrary files and directories by uploading a .lnk (link) file that points to the target file.,7.5,HIGH,2001-07-01T04:00:00.000
CVE-2001-1386,"WFTPD 3.00 allows remote attackers to read arbitrary files by uploading a (link) file that ends in a "".lnk."" extension, which bypasses WFTPD's check for a "".lnk"" extension.",7.5,HIGH,2001-07-01T04:00:00.000
CVE-2001-1042,Transsoft Broker 5.9.5.0 allows remote attackers to read arbitrary files and directories by uploading a .lnk (link) file that points to the target file.,7.5,HIGH,2001-07-02T04:00:00.000
CVE-2001-1238,"Task Manager in Windows 2000 does not allow local users to end processes with uppercase letters named (1) winlogon.exe, (2) csrss.exe, (3) smss.exe and (4) services.exe via the Process tab which could allow local users to install Trojan horses that cannot be stopped with the Task Manager.",7.8,HIGH,2001-07-16T04:00:00.000
CVE-2001-0497,"dnskeygen in BIND 8.2.4 and earlier, and dnssec-keygen in BIND 9.1.2 and earlier, set insecure permissions for a HMAC-MD5 shared secret key file used for DNS Transactional Signatures (TSIG), which allows attackers to obtain the keys and perform dynamic DNS updates.",7.8,HIGH,2001-07-21T04:00:00.000
CVE-2001-1471,"prefs.php in phpBB 1.4.0 and earlier allows remote authenticated users to execute arbitrary PHP code via an invalid language value, which prevents the variables (1) $l_statsblock in prefs.php or (2) $l_privnotify in auth.php from being properly initialized, which can be modified by the user and later used in an eval statement.",8.8,HIGH,2001-07-31T04:00:00.000
CVE-2001-1452,"By default, DNS servers on Windows NT 4.0 and Windows 2000 Server cache glue records received from non-delegated name servers, which allows remote attackers to poison the DNS cache via spoofed DNS responses.",7.5,HIGH,2001-08-31T04:00:00.000
CVE-2001-0795,Perception LiteServe 1.25 allows remote attackers to obtain source code of CGI scripts via URLs that contain MS-DOS conventions such as (1) upper case letters or (2) 8.3 file names.,7.5,HIGH,2001-10-18T04:00:00.000
CVE-2001-0950,"ValiCert Enterprise Validation Authority (EVA) Administration Server 3.3 through 4.2.1 uses insufficiently random data to (1) generate session tokens for HSMs using the C rand function, or (2) generate certificates or keys using /dev/urandom instead of another source which blocks when the entropy pool is low, which could make it easier for local or remote attackers to steal tokens or certificates via brute force guessing.",7.5,HIGH,2001-12-04T05:00:00.000
CVE-2001-0830,"6tunnel 0.08 and earlier does not properly close sockets that were initiated by a client, which allows remote attackers to cause a denial of service (resource exhaustion) by repeatedly connecting to and disconnecting from the server.",7.5,HIGH,2001-12-06T05:00:00.000
CVE-2001-1515,"Macintosh clients, when using NT file system volumes on Windows 2000 SP1, create subdirectories and automatically modify the inherited NTFS permissions, which may cause the directories to have less restrictive permissions than intended.",7.5,HIGH,2001-12-31T05:00:00.000
CVE-2001-1536,"Autogalaxy stores usernames and passwords in cleartext in cookies, which makes it easier for remote attackers to obtain authentication information and gain unauthorized access via sniffing or a cross-site scripting attack.",7.5,HIGH,2001-12-31T05:00:00.000
CVE-2001-1537,"The default ""basic"" security setting' in config.php for TWIG webmail 2.7.4 and earlier stores cleartext usernames and passwords in cookies, which could allow attackers to obtain authentication information and gain privileges.",7.5,HIGH,2001-12-31T05:00:00.000
CVE-2001-1546,"Pathways Homecare 6.5 uses weak encryption for user names and passwords, which allows local users to gain privileges by recovering the passwords from the pwhc.ini file.",7.8,HIGH,2001-12-31T05:00:00.000
CVE-2002-0051,Windows 2000 allows local users to prevent the application of new group policy settings by opening Group Policy files with exclusive-read access.,7.8,HIGH,2002-04-04T05:00:00.000
CVE-2002-0184,"Sudo before 1.6.6 contains an off-by-one error that can result in a heap-based buffer overflow that may allow local users to gain root privileges via special characters in the -p (prompt) argument, which are not properly expanded.",7.8,HIGH,2002-05-16T04:00:00.000
CVE-1999-0426,The default permissions of /dev/kmem in Linux versions before 2.0.36 allows IP spoofing.,9.8,CRITICAL,1999-03-01T05:00:00.000
CVE-1999-1324,"VAXstations running Open VMS 5.3 through 5.5-2 with VMS DECwindows or MOTIF do not properly disable access to user accounts that exceed the break-in limit threshold for failed login attempts, which makes it easier for attackers to conduct brute force password guessing.",9.8,CRITICAL,1999-12-31T05:00:00.000
CVE-2000-1218,"The default configuration for the domain name resolver for Microsoft Windows 98, NT 4.0, 2000, and XP sets the QueryIpMatching parameter to 0, which causes Windows to accept DNS updates from hosts that it did not query, which allows remote attackers to poison the DNS cache.",9.8,CRITICAL,2000-04-14T04:00:00.000
CVE-2000-0944,"CGI Script Center News Update 1.1 does not properly validate the original news administration password during a password change operation, which allows remote attackers to modify the password without knowing the original password.",9.8,CRITICAL,2000-12-19T05:00:00.000
CVE-2001-1339,"Beck IPC GmbH IPC@CHIP telnet service does not delay or disconnect users from the service when bad passwords are entered, which makes it easier for remote attackers to conduct brute force password guessing attacks.",9.8,CRITICAL,2001-05-24T04:00:00.000
CVE-2001-0248,"Buffer overflow in FTP server in HPUX 11 allows remote attackers to execute arbitrary commands by creating a long pathname and calling the STAT command, which uses glob to generate long strings.",9.8,CRITICAL,2001-06-18T04:00:00.000
CVE-2001-0249,"Heap overflow in FTP daemon in Solaris 8 allows remote attackers to execute arbitrary commands by creating a long pathname and calling the LIST command, which uses glob to generate long strings.",9.8,CRITICAL,2001-06-18T04:00:00.000
CVE-2001-0395,"Lightwave ConsoleServer 3200 does not disconnect users after unsuccessful login attempts, which could allow remote attackers to conduct brute force password guessing.",9.8,CRITICAL,2001-07-02T04:00:00.000
CVE-2001-1291,"The telnet server for 3Com hardware such as PS40 SuperStack II does not delay or disconnect remote attackers who provide an incorrect username or password, which makes it easier to break into the server via brute force password guessing.",9.8,CRITICAL,2001-07-12T04:00:00.000
CVE-2001-0609,Format string vulnerability in Infodrom cfingerd 1.4.3 and earlier allows a remote attacker to gain additional privileges via a malformed ident reply that is passed to the syslog function.,9.8,CRITICAL,2001-08-02T04:00:00.000
CVE-2001-1155,"TCP Wrappers (tcp_wrappers) in FreeBSD 4.1.1 through 4.3 with the PARANOID ACL option enabled does not properly check the result of a reverse DNS lookup, which could allow remote attackers to bypass intended access restrictions via DNS spoofing.",9.8,CRITICAL,2001-08-23T04:00:00.000
CVE-2001-0967,"Knox Arkeia server 4.2, and possibly other versions, uses a constant salt when encrypting passwords using the crypt() function, which makes it easier for an attacker to conduct brute force password guessing.",9.8,CRITICAL,2001-08-31T04:00:00.000
CVE-2001-1125,"Symantec LiveUpdate before 1.6 does not use cryptography to ensure the integrity of download files, which allows remote attackers to execute arbitrary code via DNS spoofing of the update.symantec.com site.",9.8,CRITICAL,2001-10-05T04:00:00.000
CVE-2001-0766,Apache on MacOS X Client 10.0.3 with the HFS+ file system allows remote attackers to bypass access restrictions via a URL that contains some characters whose case is not matched by Apache's filters.,9.8,CRITICAL,2001-10-18T04:00:00.000
CVE-2001-1481,"Xitami 2.4 through 2.5 b4 stores the Administrator password in plaintext in the default.aut file, whose default permissions are world-readable, which allows remote attackers to gain privileges.",9.8,CRITICAL,2001-12-31T05:00:00.000
CVE-2001-1496,Off-by-one buffer overflow in Basic Authentication in Acme Labs thttpd 1.95 through 2.20 allows remote attackers to cause a denial of service and possibly execute arbitrary code.,9.8,CRITICAL,2001-12-31T05:00:00.000
CVE-2002-0059,"The decompression algorithm in zlib 1.1.3 and earlier, as used in many different utilities and packages, causes inflateEnd to release certain memory more than once (a ""double free""), which may allow local and remote attackers to execute arbitrary code via a block of malformed compression data.",9.8,CRITICAL,2002-03-15T05:00:00.000
CVE-2002-0083,Off-by-one error in the channel code of OpenSSH 2.0 through 3.0.2 allows local users or remote malicious servers to gain privileges.,9.8,CRITICAL,2002-03-15T05:00:00.000
CVE-2002-0639,Integer overflow in sshd in OpenSSH 2.9.9 through 3.3 allows remote attackers to execute arbitrary code during challenge response authentication (ChallengeResponseAuthentication) when OpenSSH is using SKEY or BSD_AUTH authentication.,9.8,CRITICAL,2002-07-03T04:00:00.000
